name,page_url,icon,description,unlock,ability,requirement,ball,passive,evolutions,combinations
Dynamite,,https://static.wikia.nocookie.net/ballpit/images/f/fc/Dynamite.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Every 5-10 rows, spawn an enemy with dynamite attached to them. Destroying them will deal 200-500 damage to nearby enemies",,,N/A,,,,
Emerald Hilted Dagger,,https://static.wikia.nocookie.net/ballpit/images/5/51/Emerald_Hilted_Dagger.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase crit chance to 20% when hitting enemies on their right side,,,N/A,,,,
Ethereal Cloak,,https://static.wikia.nocookie.net/ballpit/images/7/73/Ethereal_Cloak.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Balls go through enemies and deal 25% bonus damage until they hit the back of the field,,,N/A,,,,
Everflowing Goblet,,https://static.wikia.nocookie.net/ballpit/images/7/7a/Everflowing_Goblet.png/revision/latest/scale-to-width-down/100?cb=20251024023811,You can heal past your max health at 20% efficiency,,,N/A,,,,
Eye of the Beholder,,https://static.wikia.nocookie.net/ballpit/images/c/cc/Eye_Of_The_Beholder.png/revision/latest/scale-to-width-down/100?cb=20251024023811,10% chance to dodge incoming attacks,,,N/A,,,,
Fleet Feet,,https://static.wikia.nocookie.net/ballpit/images/f/f3/Fleet_Feet.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase movement speed by 10% and move at full speed while shooting,,,N/A,,,,
Frozen Spike,,https://static.wikia.nocookie.net/ballpit/images/a/af/Frozen_Spike.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"When an enemy is frozen, they emit a chill to nearby enemies that deals 10-20 damage",,,The player needs to have a ball that applies Freeze,,,,
Gemspring,,https://static.wikia.nocookie.net/ballpit/images/0/09/Gemspring.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Every 7-11 rows, spawn a Gemspring. Dealing damage to them causes them to drop an increasing amount of XP gems",,,N/A,,,,
Ghostly Corset,,https://static.wikia.nocookie.net/ballpit/images/f/fb/Ghostly_Corset.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Balls go through enemies and deal 20% bonus damage when hitting them from the side,,,N/A,,,,
Ghostly Shield,,https://static.wikia.nocookie.net/ballpit/images/7/72/Ghostly_Shield.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Balls go through allies and heal them for 2 health,,,"The player needs to have at least one other passive that gives them ""allies"" (e.g. Archer's Effigy)",,,,
Golden Bull,,https://static.wikia.nocookie.net/ballpit/images/8/83/Golden_Bull.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Every 7-11 rows, spawn a golden bull with 400 health on your side. Golden bulls accrue 10 gold per minute. They also move up the field, blocking and attacking enemies in the way",,,N/A,,,,
Hand Fan,,https://static.wikia.nocookie.net/ballpit/images/7/7f/Hand_Fan.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Slow down enemies in the same column as you by 50%,,,N/A,,,,
Hand Mirror,,https://static.wikia.nocookie.net/ballpit/images/3/34/Hand_Mirror.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Projectiles have a 50% chance to reflect upon hitting you, dealing 20-40 damage if they hit an enemy",,,N/A,,,,
Healer's Effigy,,https://static.wikia.nocookie.net/ballpit/images/1/17/Healers_Effigy.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Every 7-12 rows, spawn a stone healer with 100 health on your side, which heals you 10 health per minute while it's on the field. Healers are immune to ball damage and move up the field, blocking and attacking enemies in the way",,,N/A,,,,
Hourglass,,https://static.wikia.nocookie.net/ballpit/images/1/11/Hourglass.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Balls deal 150% damage, but damage decays by 30% each time they bounce (minimum 50%)",,,N/A,,,,
Kiss of Death,,https://static.wikia.nocookie.net/ballpit/images/1/18/Kiss_Of_Death.png/revision/latest/scale-to-width-down/100?cb=20251024024529,Charmed enemies have a 10% chance of dying after recovering,,,The player needs to have a ball that applies Charm,,,,
Lover's Quiver,,https://static.wikia.nocookie.net/ballpit/images/b/b2/Lovers_Quiver.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Projectiles have a 40% chance to heal you for 1 health instead of hurting you,,,N/A,,,,
Magic Staff,,https://static.wikia.nocookie.net/ballpit/images/f/f9/Magic_Staff.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Increase area-of-effect damage (such as earthquake, laser, and lightning) by 20%",,,N/A,,,,
Magnet,,https://static.wikia.nocookie.net/ballpit/images/8/8c/Magnet.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase range at which you pick up items and catch balls by 1.0 tiles,,,N/A,,,,
Midnight Oil,,https://static.wikia.nocookie.net/ballpit/images/0/04/Midnight_Oil.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Balls that hit flaming enemies light on fire and deal 10-20 bonus fire damage on the next hit,,,The player needs to have a ball that applies Burn,,,,
Pressure Valve,,https://static.wikia.nocookie.net/ballpit/images/c/c9/Pressure_Valve.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Enemies explode on death, dealing 20-30 damage to adjacent enemies",,,N/A,,,,
Protective Charm,,https://static.wikia.nocookie.net/ballpit/images/1/19/Protective_Charm.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Gain a shield that blocks the next damage you would receive. Recharges after 60 seconds,,,N/A,,,,
Radiant Feather,,https://static.wikia.nocookie.net/ballpit/images/b/ba/Radiant_Feather.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Increases ball launch speed by 20%, but get knocked back a little each time you shoot a ball",,,N/A,,,,
Reacher's Spear,,https://static.wikia.nocookie.net/ballpit/images/c/c2/Reachers_Spear.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase crit chance to 20% when hitting enemies in the same column as you,,,N/A,,,,
Rubber Headband,,https://static.wikia.nocookie.net/ballpit/images/3/38/Rubber_Headband.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Balls start off at 70% speed but increase by 20% each bounce (max 200%),,,N/A,,,,
Ruby Hilted Dagger,,https://static.wikia.nocookie.net/ballpit/images/5/50/Ruby_Hilted_Dagger.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase crit chance to 15% when hitting enemies in the back,,,N/A,,,,
Sapphire Hilted Dagger,,https://static.wikia.nocookie.net/ballpit/images/7/70/Sapphire_Hilted_Dagger.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase crit chance to 30% when hitting enemies on their left side,,,N/A,,,,
Shortbow,,https://static.wikia.nocookie.net/ballpit/images/f/f9/Shortbow.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase fire rate by 15%,,,N/A,,,,
Silver Blindfold,,https://static.wikia.nocookie.net/ballpit/images/0/09/Silver_Blindfold.png/revision/latest/scale-to-width-down/100?cb=20251024024844,Increase crit chance to 20% when hitting blinded enemies,,,N/A,,,,
Silver Bullet,,https://static.wikia.nocookie.net/ballpit/images/0/0f/Silver_Bullet.png/revision/latest/scale-to-width-down/100?cb=20251024023812,Balls deal 20% bonus damage until they hit a wall,,,N/A,,,,
Slingshot,,https://static.wikia.nocookie.net/ballpit/images/3/3f/Slingshot.png/revision/latest/scale-to-width-down/100?cb=20251024023812,25% chance to launch a baby ball when you pick up a gem,,,N/A,,,,
Spiked Collar,,https://static.wikia.nocookie.net/ballpit/images/1/1d/Spiked_Collar.png/revision/latest/scale-to-width-down/100?cb=20251024024938,Deal 30-50 to enemies the first time you get into their melee attack range,,,N/A,,,,
Stone Effigy,,https://static.wikia.nocookie.net/ballpit/images/f/f3/Stone_Effigy.png/revision/latest/scale-to-width-down/100?cb=20251024025005,"Every 7-12 rows, spawn a stone soldier with 200 health on your side. Stone soldiers are immune to ball damage and move up the field, blocking and attacking enemies in the way",,,N/A,,,,
Traitor's Cowl,,https://static.wikia.nocookie.net/ballpit/images/1/14/Traitors_Cowl.png/revision/latest/scale-to-width-down/100?cb=20251024025022,"Stone allies can now be damaged by your balls, but you heal 2 health when a ball hits one",,,"The player needs to have at least one other passive that gives them ""stone allies"" (e.g. Archer's Effigy)",,,,
Turret,,https://static.wikia.nocookie.net/ballpit/images/3/32/Turret.png/revision/latest/scale-to-width-down/100?cb=20251024025023,Floats around your character and shoots a baby ball at enemies every 2.0 seconds,,,N/A,,,,
Upturned Hatchet,,https://static.wikia.nocookie.net/ballpit/images/4/43/Upturned_Hatchet.png/revision/latest/scale-to-width-down/100?cb=20251024025023,"Balls deal 80% more damage after hitting the back of the field, otherwise damage is reduced by 20%",,,N/A,,,,
Vampiric Sword,,https://static.wikia.nocookie.net/ballpit/images/8/87/Vampiric_Sword.png/revision/latest/scale-to-width-down/100?cb=20251024025023,"Each kill heals you by 5, but each shot you take deals 2 damage to you",,,N/A,,,,
Voodoo Doll,,https://static.wikia.nocookie.net/ballpit/images/f/fd/Voodoo_Doll.png/revision/latest/scale-to-width-down/100?cb=20251024025024,Curse has a 10% chance of killing enemies,,,The player needs to have a ball that applies Curse,,,,
Wagon Wheel,,https://static.wikia.nocookie.net/ballpit/images/f/fa/Wagon_Wheel.png/revision/latest/scale-to-width-down/100?cb=20251024025023,"Each time a ball hits a wall, it deals 30% extra damage on the next hit",,,N/A,,,,
War Horn,,https://static.wikia.nocookie.net/ballpit/images/9/9c/War_Horn.png/revision/latest/scale-to-width-down/100?cb=20251024025023,All baby balls deal 20% more damage,,,N/A,,,,
Wretched Onion,,https://static.wikia.nocookie.net/ballpit/images/f/f2/Wretched_Onion.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Deal 6-12 per second to enemies within 2 tiles,,,N/A,,,,
Cornucopia,,https://static.wikia.nocookie.net/ballpit/images/b/be/Cornucopia.png/revision/latest/scale-to-width-down/100?cb=20251023232034,"Each time baby balls are created, spawn 0-1 additional baby balls",,,,,,,+; Baby Rattle; War Horn
War Horn,,,,,,,,,,
Gracious Impaler,,https://static.wikia.nocookie.net/ballpit/images/a/ae/Gracious_Impaler.png/revision/latest/scale-to-width-down/100?cb=20251023232035,Critical hits have a 5% chance to instantly kill enemies,,,,,,,+; Reacher's Spear; Deadeye's Amulet
Deadeye's Amulet,,,,,,,,,,
Odiferous Shell,,https://static.wikia.nocookie.net/ballpit/images/5/53/Odiferous_Shell.png/revision/latest/scale-to-width-down/100?cb=20251023232035,"When you touch enemies, they have a 50% chance of instantly dying",,,,,,,+; Wretched Onion; Breastplate
Breastplate,,,,,,,,,,
Phantom Regalia,,https://static.wikia.nocookie.net/ballpit/images/d/da/Phantom_Regalia.png/revision/latest/scale-to-width-down/100?cb=20251023232035,Balls go through enemies until they hit the back wall. Balls deal 50% more damage when going through enemies,,,,,,,+; Ghostly Corset; Ethereal Cloak
Ethereal Cloak,,,,,,,,,,
Soul Reaver,,https://static.wikia.nocookie.net/ballpit/images/9/9b/Soul_Reaver.png/revision/latest/scale-to-width-down/100?cb=20251023232035,Each kill heals you by 1 and you can heal past your max health at 30% efficiency,,,,,,,+; Vampiric Sword; Everflowing Goblet
Everflowing Goblet,,,,,,,,,,
Tormenters Mask,,https://static.wikia.nocookie.net/ballpit/images/2/2c/Tormenters_Mask.png/revision/latest/scale-to-width-down/100?cb=20251023232035,Enemies have a 10% chance of dying immediately the first time they detect you,,,,,,,+; Spiked Collar; Crown of Thorns
Crown of Thorns,,,,,,,,,,
Wings of the Anointed,,https://static.wikia.nocookie.net/ballpit/images/f/f8/Wings_Of_The_Anointed.png/revision/latest/scale-to-width-down/100?cb=20251023232035,Balls move 40% faster and you move 20% faster. You no longer are affected by environmental hazards on the ground,,,,,,,+; Radiant Feather; Fleet Feet
Fleet Feet,,,,,,,,,,
Deadeye's Cross,,https://static.wikia.nocookie.net/ballpit/images/5/51/Deadeyes_Cross.png/revision/latest/scale-to-width-down/100?cb=20251023232035,Increase critical hit chance to 60%,,,,,,,+; +; +; Diamond Hilted Dagger; Sapphire Hilted Dagger; Ruby Hilted Dagger; Emerald Hilted Dagger
Sapphire Hilted Dagger,,,Ruby Hilted Dagger,,,,,,,Emerald Hilted Dagger
