name,page_url,icon,description,unlock,ability,requirement,ball,passive,evolutions,combinations
Vampire,,https://static.wikia.nocookie.net/ballpit/images/f/f5/Vampire_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Each hit has a 4.5% chance of healing 1 health.,,,,,,,
Wind,,https://static.wikia.nocookie.net/ballpit/images/7/77/Wind_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,"Passes through enemies and slows them down by 30% for 5 seconds, but deals 25% less damage.",,,,,,,
Assassin,,https://static.wikia.nocookie.net/ballpit/images/b/bb/Assassin_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022191404,"Passes through the front of enemies, but not the back. Backstabs deal 30% bonus damage.",,,,,,,Iron + Ghost; Iron + Dark
Berserk,,https://static.wikia.nocookie.net/ballpit/images/1/18/Berserk_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153247,Each hit has a 30% chance of causing enemies to go berserk for 6 seconds. Berserk enemies deal 15-24 damage to adjacent enemies every second,,,,,,,Charm + Bleed; Charm + Burn
Black Hole,,https://static.wikia.nocookie.net/ballpit/images/8/84/Black_Hole_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,"Instantly kills the first non-boss enemy that it hits, but destroys itself afterwards. Has a 7 second cooldown before it can be shot again",,,,,,,Dark + Sun
Blizzard,,https://static.wikia.nocookie.net/ballpit/images/a/ae/Blizzard_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,"Freezes all enemies within a 2 tile radius for 0.8 seconds, dealing 1-50 damage",,,,,,,Freeze + Wind; Freeze + Lightning
Bomb,,https://static.wikia.nocookie.net/ballpit/images/7/7e/Bomb_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,"Explodes when hitting an enemy, dealing 150-300 damage to nearby enemies. Has a 3 second cooldown before it can be shot again",,,,,,,Burn + Iron
Flash,,https://static.wikia.nocookie.net/ballpit/images/2/27/Flash_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,Damage all enemies on screen for 1-3 damage after hitting an enemy and blind them for 2 seconds,,,,,,,Lightning + Light
Flicker,,https://static.wikia.nocookie.net/ballpit/images/9/96/Flicker_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Deals 1-7 damage to every enemy on screen every 1.4 seconds,,,,,,,Light + Dark
Freeze Ray,,https://static.wikia.nocookie.net/ballpit/images/9/99/Freeze_Ray_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Emits a freeze ray when hitting an enemy, dealing 20-50 to all enemies in its path, with a 10% chance of freezing them for 10.0 seconds",,,,,,,Freeze + Laser (Horizontal); Freeze + Laser (Vertical)
Frozen Flame,,https://static.wikia.nocookie.net/ballpit/images/2/2e/Frozen_Flame_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Add 1 stack of frostburn on hit for 20 seconds (max 4 stacks). Frostburnt units are dealt 8-12 damage per stack per second and receive 25% more damage from other sources,,,,,,,Burn + Freeze
Glacier,,https://static.wikia.nocookie.net/ballpit/images/5/50/Glacier_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Releases glacial spikes over time that deal 15-30 to enemies that touch them and freeze them for 2.0 seconds. This ball and its glacial spikes also deal 6-12 damage to nearby units,,,,,,,Freeze + Earthquake
Hemorrhage,,https://static.wikia.nocookie.net/ballpit/images/0/0d/Hemorrhage_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,"Inflicts 3 stacks of bleed. When hitting an enemy with 12 stacks of bleed or more, consumes all stacks of bleed to deal 20% of their current health",,,,,,,Bleed + Iron
Holy Laser,,https://static.wikia.nocookie.net/ballpit/images/1/14/Holy_Laser_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Deals 24-36 damage to all enemies in the same row and column,,,,,,,Laser (Horizontal) + Laser (Vertical)
Incubus,,https://static.wikia.nocookie.net/ballpit/images/0/08/Incubus_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,Each hit has a 4% chance of charming the enemy for 9 seconds. Charmed enemies curse nearby enemies. Cursed enemies are dealt 100-200 after being hit 5 times,,,,,,,Charm + Dark
Inferno,,https://static.wikia.nocookie.net/ballpit/images/1/15/Inferno_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Applies 1 stack of burn every second to all enemies within a 2 tile radius. Burn lasts for 6 seconds, dealing 3-7 damage per stack per seconds",,,,,,,Burn + Wind
Laser Beam,,https://static.wikia.nocookie.net/ballpit/images/9/97/Laser_Beam_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,Emit a laser beam on hit that deals 30-42 damage and blinds enemies for 8 seconds,,,,,,,Light + Laser (Horizontal); Light + Laser (Vertical)
Leech,,https://static.wikia.nocookie.net/ballpit/images/5/59/Leech_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Attaches up to 1 leech onto enemies it hits, which add 2 stacks of bleed per seconds (max 24 stacks)",,,,,,,Brood Mother + Bleed
Lightning Rod,,https://static.wikia.nocookie.net/ballpit/images/3/31/Lightning_Rod_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,"Plants a lightning rod into enemies it hits. These enemies are struck by lightning every 3.0 seconds, dealing 1-30 damage to up to 8 nearby enemies",,,,,,,Lightning + Iron
Lovestruck,,https://static.wikia.nocookie.net/ballpit/images/1/17/Lovestruck_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,Inflicts lovestruck on hit enemies for 20 seconds. Lovestruck units have a 50% chance of healing you for 5 health when they attack,,,,,,,Charm + Light; Charm + Lightning
Maggot,,https://static.wikia.nocookie.net/ballpit/images/2/26/Maggot_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Infest enemies on hit with maggots. When they dies, they explode into 1-2 baby balls",,,,,,,Brood Mother + Cell
Magma,,https://static.wikia.nocookie.net/ballpit/images/f/f6/Magma_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153248,"Emits lava blobs over time. Enemies who walk into lava blobs are dealt 15-30 damage and gain 1 stack of burn (max 3 stacks). Burn lasts for 3 seconds, dealing 3-8 damage per stack per second. This ball and its lava blobs also deal 6-12 damage to nearby units",,,,,,,Burn + Earthquake
Mosquito King,,https://static.wikia.nocookie.net/ballpit/images/4/47/Mosquito_King_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Spawns a mosquito each time it hits an enemy. Mosquitos attack a random enemy, dealing 80-120 damage each. If a mosquito kills an enemy, they steal 1 health",,,,,,,Vampire + Brood Mother
Mosquito Swarm,,https://static.wikia.nocookie.net/ballpit/images/c/c4/Mosquito_Swarm_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Explodes into 3-6 mosquitos. Mosquitos attack random enemies, dealing 80-120 damage each. If a mosquito kills an enemy, they steal 1 health",,,,,,,Vampire + Egg Sac
Noxious,,https://static.wikia.nocookie.net/ballpit/images/8/8c/Noxious_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Passes through enemies and applies 3 stacks of poison to nearby enemies within a 2 tile radius. Poison lasts for 4 seconds and each stack deals 1-3 damage per second,,,,,,,Poison + Wind; Dark + Wind
Nuclear Bomb,,https://static.wikia.nocookie.net/ballpit/images/8/85/Nuclear_Bomb_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Explodes when hitting an enemy, dealing 300-500 damage to nearby enemies and applying 1 stack of radiation to everyone present indefinitely (max 5 stacks). Each stack of radiation increases damage received by 10%. Has a 3 second cooldown",,,,,,,Bomb + Poison
Overgrowth,,https://static.wikia.nocookie.net/ballpit/images/6/6c/Overgrowth_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Applies 1 stack of overgrowth. Upon reaching 3, consume all stacks and deal 150-200 damage to all enemies in a 3x3 tile square",,,,,,,Earthquake + Cell
Phantom,,https://static.wikia.nocookie.net/ballpit/images/d/d3/Phantom_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Curse enemies on hit. Cursed enemies are dealt 100-200 damage after being hit 5 times,,,,,,,Dark + Ghost
Radiation Beam,,https://static.wikia.nocookie.net/ballpit/images/0/0a/Radiation_Beam_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Emit a radiation beam on hit that deals 24-48 damage and applies 1 stack of radiation (max 5 stacks). Radiation lasts for 15 seconds and cause enemies to receive 10% more damage from all sources per stack,,,,,,,Laser (Horizontal) + Poison; Laser (Horizontal) + Cell; Laser (Vertical) + Poison; Laser (Vertical) + Cell
Sacrifice,,https://static.wikia.nocookie.net/ballpit/images/4/47/Sacrifice_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Inflicts 4 stacks of bleed (max 15 stacks) and applies curse to hit enemies. Cursed enemies are dealt 50-100 after being hit 5 times,,,,,,,Bleed + Dark
Sandstorm,,https://static.wikia.nocookie.net/ballpit/images/9/96/Sandstorm_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Goes through enemies and is surrounded by a raging storm dealing 10-20 damage per second and blinding nearby enemies for 3 seconds,,,,,,,Earthquake + Wind
Satan,,https://static.wikia.nocookie.net/ballpit/images/a/a2/Satan_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"While active, add 1 stack of burn to all active enemies per second (max 5 stacks), dealing 10-20 damage per stack per second and make them go berserk, dealing 15-24 damage to adjacent enemies every second",,,,,,,Incubus + Succubus
Shotgun,,https://static.wikia.nocookie.net/ballpit/images/d/dc/Shotgun_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Shoots 3-7 iron baby balls after hitting a wall. Iron baby balls move at 200% speed but are destroyed upon hitting anything,,,,,,,Iron + Egg Sac
Soul Sucker,,https://static.wikia.nocookie.net/ballpit/images/c/c6/Soul_Sucker_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Passes through enemies and saps them, with a 30% chance of stealing 1 health and reducing their attack damage by 20%. Lifesteal chance only applies once per enemy",,,,,,,Vampire + Ghost
Spider Queen,,https://static.wikia.nocookie.net/ballpit/images/6/69/Spider_Queen_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Has a 25% chance of birthing an Egg Sac each time it hits an enemy,,,,,,,Brood Mother + Egg Sac
Storm,,https://static.wikia.nocookie.net/ballpit/images/4/48/Storm_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Emits lightning to strike nearby enemies every second, dealing 1-40 damage",,,,,,,Lightning + Wind
Succubus,,https://static.wikia.nocookie.net/ballpit/images/f/f0/Succubus_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Each hit has a 4% chance of charming the enemy for 9 seconds. Heals 1 when hitting a charmed enemy,,,,,,,Charm + Vampire
Sun,,https://static.wikia.nocookie.net/ballpit/images/9/9c/Sun_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Blind all enemies in view and add 1 stack of burn every second (max 5 stacks). Burn lasts for 6 seconds and deals 6-12 damage per stack per second,,,,,,,Burn + Light
Swamp,,https://static.wikia.nocookie.net/ballpit/images/1/12/Swamp_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Leaves behind tar blobs over time. Enemies who walk into tar blobs are dealt 15-30, are slowed by 50% for 7 seconds and gain 1 stack of poison (max 8 stacks). Each stack of poison deals 1-3 damage per second. This ball and its tar blobs also deal 6-12 damage to nearby units",,,,,,,Poison + Earthquake
Vampire Lord,,https://static.wikia.nocookie.net/ballpit/images/1/11/Vampire_Lord_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Each hit inflicts 3 stacks of bleed. Heals 1 health and consumes all stacks when hitting an enemy with at least 10 stacks of bleed,,,,,,,Vampire + Bleed; Vampire + Dark
Virus,,https://static.wikia.nocookie.net/ballpit/images/c/cd/Virus_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Applies 1 stack of disease to units it hits (max 8 stacks). Disease lasts for 6 seconds. Each stack of disease deals 3-6 damage per second and diseased units have a 15% chance of passing a stack to undiseased nearby enemies each second,,,,,,,Poison + Ghost; Poison + Cell
Voluptuous Egg Sac,,https://static.wikia.nocookie.net/ballpit/images/4/4f/Voluptuous_Egg_Sac_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023163048,Explodes into 2-3 egg sacs on hitting an enemy. Has a 3 second cooldown before it can be shot again,,,,,,,Egg Sac + Cell
Wraith,,https://static.wikia.nocookie.net/ballpit/images/1/11/Wraith_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,Freezes any enemy it passes through for 0.8 seconds,,,,,,,Freeze + Ghost
Nosferatu,,https://static.wikia.nocookie.net/ballpit/images/d/d0/Nosferatu_Ball.png/revision/latest/scale-to-width-down/100?cb=20251023153249,"Spawns a vampire bat each bounce. Vampire bats fly towards a random enemy, dealing 132-176 damage on hit, turning into a Vampire Lord",,,,,,,Vampire Lord + Spider Queen + Mosquito King
